Build Up Speed,Build Up Dribbling,BP Passing,CC Passing,CC Crossing,CC Shooting,Def Pressure,Def Aggression,Def Team Width
52,48,56,54,63,64,47,44,54
58,64,62,56,68,57,41,42,60
59,57,52,48,38,52,38,47,53
48,70,52,66,36,75,58,57,49
52,53,44,55,51,60,39,38,61
58,47,55,55,52,44,57,50,52
40,40,30,51,55,39,64,53,64
46,41,65,57,54,40,37,53,45
52,46,51,60,53,47,60,50,65
48,61,50,40,52,48,44,44,51
39,48,54,49,40,43,44,53,57
62,49,55,56,51,52,36,54,48
69,66,39,55,59,46,35,37,37
59,51,26,28,55,64,51,44,52
66,32,72,63,48,56,39,42,52
